settlement_date,settlement_type,opening_day,prev_day,opening_price,prev_close,trend_indicator,direction,settlement_open,settlement_close,pnl_pct,is_red_candle,is_high_open,body_ratio,trend_direction
2024-10-16,monthly,2024-10-10,2024-10-15,21458,21798,340,long,21898,21793,-0.47949584436934883,False,True,0.6524064171122995,up
2024-10-23,weekly,2024-10-17,2024-10-22,21829,22286,457,long,22274,22511,1.064020831462692,True,False,0.71875,up
2024-10-30,weekly,2024-10-24,2024-10-29,22325,22786,461,long,22489,22734,1.0894214949530883,True,False,0.410958904109589,up
2024-11-06,weekly,2024-10-31,2024-11-05,22956,23144,188,long,23034,23210,0.7640878701050621,False,False,0.04195804195804196,up
2024-11-13,weekly,2024-11-07,2024-11-12,23354,22743,-611,short,22768,22590,0.7817990161630359,True,True,0.36885245901639346,down
2024-11-20,monthly,2024-11-14,2024-11-19,22806,22685,-121,short,22908,22983,-0.3273965426925092,False,True,0.5674846625766872,down
2024-11-27,weekly,2024-11-21,2024-11-26,22810,22831,21,long,23000,22917,-0.3608695652173913,False,True,0.025362318840579712,up
2024-12-04,weekly,2024-11-28,2024-12-03,23073,23470,397,long,23659,23570,-0.3761781985713682,True,True,0.8297213622291022,up
2024-12-11,weekly,2024-12-05,2024-12-10,23626,23878,252,long,23912,23868,-0.18400802944128472,False,True,0.14316239316239315,up
2024-12-18,monthly,2024-12-12,2024-12-17,23759,24251,492,long,24038,23808,-0.9568183709127215,True,False,0.94140625,up
2024-12-25,weekly,2024-12-19,2024-12-24,24346,24002,-344,short,23877,23780,0.4062486912091134,True,False,0.48044692737430167,down
2025-01-01,weekly,2024-12-26,2024-12-31,23980,23238,-742,short,23148,22909,1.0324866079142907,False,False,0.8643122676579925,down
2025-01-08,weekly,2025-01-02,2025-01-07,23519,22830,-689,short,22399,22647,-1.1071922853698826,True,False,0.7666666666666667,down
2025-01-15,monthly,2025-01-09,2025-01-14,22028,22253,225,long,21933,22246,1.4270733597775043,True,False,0.6431226765799256,up
2025-01-22,weekly,2025-01-16,2025-01-21,22243,22653,410,long,22352,22687,1.4987473156764495,False,False,0.2537313432835821,up
2025-01-29,weekly,2025-01-23,2025-01-28,22000,21097,-903,short,20395,20420,-0.12257906349595489,False,False,0.6945898778359512,down
2025-02-05,weekly,2025-01-30,2025-02-04,19374,20696,1322,long,21061,20725,-1.595365842077774,True,True,0.0297951582867784,up
2025-02-12,weekly,2025-02-06,2025-02-11,21305,21561,256,long,21848,21769,-0.36158916147931164,True,True,0.11042944785276074,up
2025-02-19,monthly,2025-02-13,2025-02-18,21633,21840,207,long,22018,21954,-0.2906712689617586,False,True,0.5503597122302158,up
