契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,價差對單式委託成交量
TX,202408  ,22250,22317,21786,21898,-354,-1.59%,91579.0,-,-,21897,21900,24442,20959,,
TX,202408  ,22721,22728,22460,22653,369,1.66%,102459.0,22660,83214,22650,22655,24442,20959,,
TX,202408  ,22352,22687,22341,22687,403,1.81%,78971.0,-,-,22683,22687,24442,20959,,
TX,202408  ,22000,22099,21508,21533,-1127,-4.97%,139674.0,21526,87386,21532,21537,24442,20959,,
TX,202408  ,22580,22635,22008,22128,-532,-2.35%,114543.0,-,-,22128,22133,24442,20959,,
TX,202408  ,20712,20742,19374,19374,-2152,-10.00%,211207.0,19374,77869,-,19374,24442,19374,,
TX,202408  ,21495,21524,20951,21097,-429,-1.99%,132785.0,-,-,21054,21107,24442,20951,,
TX,202408  ,20395,20790,19589,20420,1046,5.40%,190100.0,20455,75639,20411,20425,24442,18836,,
TX,202408  ,19374,20375,18836,20223,849,4.38%,168624.0,-,-,20221,20239,24442,18836,,
TX,202408  ,20500,21335,20494,21131,676,3.30%,155051.0,21142,78081,21132,21135,24442,18836,,
TX,202408  ,20332,20746,19947,20320,-135,-0.66%,130921.0,-,-,20286,20313,24442,18836,,
TX,202408  ,20680,21082,20545,20696,-446,-2.11%,121331.0,20698,76723,20691,20700,24442,18836,,
TX,202408  ,21061,21454,20684,20725,-417,-1.97%,122940.0,-,-,20710,20727,24442,18836,,
TX,202408  ,21305,21593,21032,21481,783,3.78%,136829.0,21483,79384,21478,21480,24442,18836,,
TX,202408  ,20801,21444,20565,21429,731,3.53%,113437.0,-,-,21428,21430,24442,18836,,
TX,202408  ,21650,21895,21600,21677,194,0.90%,89347.0,21676,78486,21673,21677,24442,18836,,
TX,202408  ,21507,21820,21331,21561,78,0.36%,105407.0,-,-,21560,21586,24442,18836,,
TX,202408  ,21848,21898,21662,21769,93,0.43%,68585.0,21771,78430,21764,21769,24442,18836,,
TX,202408  ,21633,21924,21560,21803,127,0.59%,73517.0,-,-,21799,21804,24442,18836,,
TX,202408  ,22104,22158,21908,21978,207,0.95%,85768.0,21996,80441,21978,21984,24442,18836,,
TX,202408  ,21805,22140,21692,22113,342,1.57%,66253.0,-,-,22108,22113,24442,18836,,
TX,202408  ,21993,22114,21836,21840,-156,-0.71%,71553.0,21840,78839,21837,21840,24442,18836,,
TX,202408  ,22018,22202,21731,21954,-42,-0.19%,92122.0,-,-,21945,21955,24442,18836,,
TX,202408  ,22324,22447,22277,22367,527,2.41%,83257.0,22365,73203,22366,22367,24442,18836,,
TX,202408  ,21839,22407,21753,22357,517,2.37%,78240.0,-,-,22353,22357,24442,18836,,
TX,202408  ,22400,22521,22320,22361,-4,-0.02%,103565.0,22361,48532,22359,22361,24442,18836,,
